TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
4.10.280.10	-	0.242529847950415	-1.41663049184724	118	8	0.0194647201946472	411	8168	724016,562289,30140,402968,81884,140613,114414,567762	npas4a,tfeb,clocka,nhlh2,ncoa2,her9,neurod6a,myclb
1.10.10.60	-	0.247343861723976	-1.39697575777169	299	18	0.0437956204379562	411	8168	403080,337089,30536,792333,64810,58138,64276,30407,30391,404602,436941,572084,100007394,30472,114425,65233,445390,30635	dnajc2,prrx1b,emx3,nanog,vent,pbx1a,lbx2,hoxd13a,hoxa10b,phox2a,zgc:91944,zgc:158291,adnp2a,rx1,zeb1b,six4a,mybl2b,six3a
2.60.200.10	-	0.247527934038741	-1.39623183853915	19	2	0.0048661800486618	411	8168	326282,445564	smad7,smad9
2.60.40.820	-	0.247527934038741	-1.39623183853915	19	2	0.0048661800486618	411	8168	573084,30264	tbx2a,tbx16
3.10.110.10	-	0.265052060589036	-1.32782901723772	52	4	0.0097323600973236	411	8168	553603,406836,406794,436873	ube2q1,ube2v2,ube2j1,ube2r2
3.40.800.20	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	192302	hdac1
3.20.20.120	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	378963	eno3
3.30.390.10	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	378963	eno3
1.20.990.10	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	60658	nos1
2.60.120.590	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	317736	alkbh6
2.100.10.30	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	797049	zgc:172244
1.10.287.810	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	436951	timm10
1.10.950.10	-	0.266456122170618	-1.32254569369483	6	1	0.0024330900243309	411	8168	30112	svila
1.10.880.10	-	0.266542692456166	-1.32222085137274	20	2	0.0048661800486618	411	8168	100000492,407086	mafaa,junba
1.10.2000.10	-	0.266542692456166	-1.32222085137274	20	2	0.0048661800486618	411	8168	566878,30366	sfrp2,fzd10
1.20.80.10	-	0.270916136152966	-1.30594596668544	36	3	0.0072992700729927	411	8168	368448,368449,403009	ptpn4a,epb41l5,ezra
1.20.120.350	-	0.270916136152966	-1.30594596668544	36	3	0.0072992700729927	411	8168	570188,548345,557280	kcnd2,nalcn,kcnf1a
1.25.10.10	-	0.29322654192869	-1.22680978807125	125	8	0.0194647201946472	411	8168	571528,368640,794108,373878,445499,324254,30707,447818	armc8,kpna3,nipblb,ppp2r5eb,tnpo2,mtor,cse1l,taf6
