"","geneset","source","zeb_p","zeb_p3","zeb_p5","mouse_p","mouse_p3","mouse_p5","human_p","human_p3","human_p5","wilk_p","wilk_p3","wilk_p5","wilk_adj","wilk_adj3","wilk_adj5"
"917","GO_PROTEIN_DEPHOSPHORYLATION","c5",0.418240336060392,0.87702900630582,0.0235920132370772,0.000139172383050593,0.000738946474505572,0.00879996730696714,9.74547042073554e-06,0.000224373401735503,2.28505936933997e-05,5.81014653654723e-08,1.63731868509032e-06,0.000230955345001506,0.000605823979365779,0.0170723219294368,1
"918","GO_REGULATION_OF_CELL_DEATH","c5",0.0516239141812651,0.0236934130967679,0.532191601186856,2.4310802977663e-08,2.71969930638188e-06,1.37168125117183e-08,1.28698994280313e-15,3.53035508013194e-14,6.8884110996357e-07,1.77304539552013e-15,2.21902527174527e-11,1.42350557061446e-12,1.84875443390884e-11,2.31377765084879e-07,1.4842892584797e-08
"919","GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS","c5",0.165202555218875,0.164907044027735,0.913893989042173,1.32480930506292e-09,3.08639707466586e-07,1.44844461461079e-08,3.34091804495022e-23,4.20628367906063e-21,9.46269199165608e-11,5.26535907969351e-18,2.85775348274086e-13,6.2939753440085e-16,5.49018991239642e-14,2.9797795564539e-09,6.56272809119767e-12
"920","GO_CONNECTIVE_TISSUE_DEVELOPMENT","c5",0.0343030650314938,0.0475525969381368,0.122188795883269,0.000927828476526135,0.00244443223399675,0.0563098210325034,3.08162056632386e-10,7.91570515788433e-08,1.30054768107531e-07,2.58099957417025e-06,1.78965346575446e-05,0.00915529392978299,0.0269120825598732,0.186607166874218,1
"921","GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS","c5",0.641174510518628,0.643945614035667,0.287008181768775,1.59549233593453e-16,1.17950519459038e-12,1.71262542406399e-12,1.0467813517384e-33,2.59670471492211e-25,1.14412277405883e-19,7.63678738207743e-32,4.17369751219377e-24,8.79925752944105e-24,7.96287820329214e-28,4.35191439596444e-20,9.17498582594818e-20
"922","GO_DIACYLGLYCEROL_METABOLIC_PROCESS","c5",0.59993681099088,0.507228344767478,1,0.00107191504139667,0.00119882433438067,0.00379446258257336,0.000410877329404172,0.000275323619066977,0.315132983620895,3.44454230317324e-06,4.30809350191222e-06,0.235335436870042,0.0359162425951874,0.0449204909444387,1
"923","GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION","c5",0.103106219269146,0.14978980363709,0.351558091717227,0.00066157434385374,0.0887885614165219,2.30402680543953e-08,2.47910093934971e-10,2.69626626710966e-07,8.28784755939833e-10,1.31246272080853e-06,0.0222503128911194,1.59256183159313e-15,0.0136850487898705,1,1.66056422180216e-11
"924","GO_ION_HOMEOSTASIS","c5",0.446019471383015,0.795141615441103,0.0122029427996861,0.000818628023960681,0.00184122019277232,0.0181456678225798,2.60378839520944e-12,7.97387036332975e-10,1.22718153326542e-09,2.0093583146856e-06,1.01577915838689e-05,0.000443101114245432,0.0209515791472267,0.105915292845001,1
"925","GO_MEMBRANE_ORGANIZATION","c5",0.798547480487068,0.427080073668534,0.433364521256005,3.64147527340671e-08,1.61739830330713e-09,0.0021653708158651,1.36006359744201e-12,3.41983199274465e-14,0.00489258815172301,3.97810255347532e-15,7.8479318061602e-18,7.15780246037147e-05,4.14796753250872e-11,8.18303849428325e-14,0.746344062542933
"926","GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS","c5",0.808862369858677,0.945559110809349,0.805599477714877,5.84168194390423e-06,3.45549607379655e-06,0.0112836634917855,1.19653130077951e-19,1.07865896572515e-14,9.36696727577444e-13,1.02375345103521e-10,3.58212768276923e-11,0.000379089889354119,1.06746772339441e-06,3.73508453482348e-07,1
"927","GO_REGULATION_OF_CHROMOSOME_ORGANIZATION","c5",0.0544333154054868,0.153961677845061,0.155176059221572,1.85745900854527e-05,0.000128168307276404,0.000595708864205813,1.39642840487824e-06,6.81858928889669e-07,0.00330889328313697,1.03503337348866e-09,4.9277134099253e-08,3.27738676230483e-05,1.07922929853662e-05,0.000513812677252911,0.341733117705525
"928","GO_TUBE_MORPHOGENESIS","c5",0.215558458249011,0.160125319094152,0.845652695987466,7.00172555430008e-06,0.00109125684868045,1.07860786314727e-05,5.8129893434417e-14,2.00707203384875e-10,1.22098534746936e-08,1.47071795705778e-10,3.56992550146947e-06,3.49015967039114e-10,1.53351761382415e-06,0.0372236132038222,3.63918948831684e-06
"929","GO_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY","c5",0.218966773699688,0.162004545680178,0.607910693007288,0.000772056003540734,0.0021121292190346,0.0196879826103754,4.92506583410642e-07,2.08502370319724e-06,0.00324765371140654,1.78729101823605e-06,1.33644247173084e-05,0.00114758719770507,0.0186360834471473,0.139350856527375,1
"930","GO_CELL_PROJECTION_ORGANIZATION","c5",0.219358582155898,0.364748640364543,0.212061724818719,1.47802681887076e-16,7.97420938806568e-17,8.9046869759521e-05,1.38206985432797e-46,6.41023641620356e-39,1.55742776253267e-19,6.55368983190368e-32,1.90764046094145e-32,2.37866228752018e-08,6.83353238772597e-28,1.98909670862365e-28,0.000248023116719729
"931","GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS","c5",0.551296512544215,0.543452826873061,0.808931527703889,3.1032623998778e-05,0.00369164037341535,4.47319432560391e-08,6.46336670444669e-13,1.27122263600448e-12,9.6321691592987e-09,2.88901148644059e-09,4.07840050493761e-05,6.00284006337203e-15,3.0123722769116e-05,0.425254820649845,6.25916133407802e-11
"932","GO_NUCLEUS_ORGANIZATION","c5",0.214992473317296,0.481395716650444,0.52712101759129,0.000307901788660358,7.70495227408509e-05,0.15495918999128,0.000232257062839786,0.00011571474063046,0.453928132990833,2.84352154039243e-07,4.01666047796352e-08,0.431087785336044,0.00296493991016719,0.000418817188037257,1
"933","GO_NEURON_DIFFERENTIATION","c5",0.273783539402525,0.4489283959192,0.265252354056164,1.66417791081815e-19,2.18349442588041e-18,1.71324142027361e-07,7.64008687457996e-32,1.21974570633392e-26,4.22013706989971e-15,8.30846435656521e-38,1.43029437235525e-35,8.80558748668344e-14,8.66323578459054e-34,1.49136794205482e-31,9.18158607236482e-10
"934","GO_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS","c5",0.135050299476569,0.048311299404333,0.491158311709594,5.99529699891923e-07,6.21549972330068e-05,7.59858777398812e-05,4.62323501383108e-06,1.1958088525875e-06,0.000155663561146286,6.41227083424983e-11,1.15892508033046e-08,7.26858889938152e-08,6.6860747988723e-07,0.000120841118126057,0.000757895764538511
"935","GO_GOLGI_VESICLE_TRANSPORT","c5",0.136329913570446,0.335598592127984,0.386439710508375,0.03906315214868,0.00103822078552034,0.254648908037282,4.23117612937401e-08,3.58360115452106e-08,7.02270042028256e-05,0.00445857430712281,3.23146899710763e-06,0.161512239113233,1,0.0336945272328412,1
"936","GO_GLIAL_CELL_DIFFERENTIATION","c5",0.14004653016528,0.178699486078577,0.370563647860134,0.000556246994771675,0.0269881229188416,6.264822865543e-05,0.000761884740016831,0.00271374283719969,0.0100257025468637,1.74052057124491e-06,0.00214576226355131,0.000299528673475237,0.0181484079963707,1,1
"937","GO_NEURAL_TUBE_FORMATION","c5",0.860398615783372,0.551995913671115,0.726134903008532,0.00552963302426757,0.0935471535025769,0.000855821200283857,4.61292365209616e-08,1.30733464895456e-05,1.03672762133482e-05,9.13923667254323e-05,0.02461593442149,2.19603612244765e-06,0.952948207846083,1,0.0228980686487617
"938","GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","c5",0.212593277058278,0.325879393348745,0.153140150438693,3.5659841357205e-09,3.48546334289318e-06,1.45599772130771e-08,4.31280751592288e-22,9.4340412248828e-18,1.61249403545107e-12,3.81487284779389e-17,3.64452794579692e-11,6.35978803162753e-16,3.97776791839468e-13,3.80014928908244e-07,6.63135098057803e-12
"939","GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","c5",0.00033959596608332,0.00081685916872055,0.047417909771965,2.03707324724733e-21,8.54196042027168e-16,4.51975480366212e-15,9.61268611177511e-32,5.34008988784002e-28,2.29337812729926e-16,1.24490022439523e-41,2.18895263464464e-30,6.12845504556803e-29,1.2980574639769e-37,2.28242091214396e-26,6.39014007601378e-25
"940","GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION","c5",0.0579731838813239,0.35555930313703,0.0149262779325624,6.17353709761237e-09,4.70163655874894e-09,0.00024063987746319,1.34880294155008e-18,6.76049569197173e-16,2.89460454350605e-09,1.1433768041621e-16,6.63161587838309e-17,1.73694782144724e-07,1.19219899369982e-12,6.91478587639005e-13,0.00181111549342303
