TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.280.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	109113	Uhrf2
1.20.1020.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	328572	Ep300
3.10.310.20	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	353211	Prune2
3.10.20.710	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	20230	Satb1
2.10.110.40	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	328572	Ep300
3.90.1380.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	232078	Thnsl2
3.40.390.60	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	17936	Nab1
3.40.50.12190	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	240832	Tor1aip2
1.10.150.40	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	23825	Banf1
3.40.50.670	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	21974	Top2b
1.10.1450.10	-	0.108496637484464	-2.22103609740845	26	3	0.00759493670886076	395	8819	64540,70747,56224	Tspan4,Tspan2,Tspan5
1.20.920.10	-	0.117219825954178	-2.14370425271419	42	4	0.010126582278481	395	8819	328572,330409,14312,18519	Ep300,Cecr2,Brd2,Kat2b
1.25.40.20	-	0.126794997051453	-2.06518369318758	223	14	0.0354430379746835	395	8819	80880,105522,102334,347722,12580,79264,78785,433667,72615,213990,224650,67993,77318,24014	Kank3,Ankrd28,Ankrd10,Agap1,Cdkn2c,Krit1,Clip4,Ankrd13c,Anks3,Agap3,Anks1,Nudt12,Ankrd55,Rnasel
3.10.250.10	-	0.128240802900472	-2.05384550977973	28	3	0.00759493670886076	395	8819	15451,80893,94352	Hpn,Tmprss5,Loxl2
3.40.50.11610	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	18293	Ogdh
1.20.1440.180	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	24014	Rnasel
1.10.150.240	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	13850	Ephx2
1.10.246.20	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	328572	Ep300
1.20.1230.10	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	18797	Plcb3
2.30.18.10	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	235459	Gtf2a2
3.90.1460.10	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	114674	Gtf2ird2
3.40.1280.30	-	0.128454393233361	-2.05218135411652	3	1	0.00253164556962025	395	8819	52575	Trmt10c
3.40.50.12780	-	0.138557414889265	-1.97647049131907	29	3	0.00759493670886076	395	8819	14081,216739,208440	Acsl1,Acsl6,Dip2c
1.10.1070.11	-	0.143269542483005	-1.94302751047202	15	2	0.00506329113924051	395	8819	240752,18705	Pik3c2b,Pik3c2g
3.10.120.10	-	0.143269542483005	-1.94302751047202	15	2	0.00506329113924051	395	8819	266690,15204	Cyb5r4,Herc2
3.40.390.10	-	0.14377584390345	-1.93949983178765	97	7	0.0177215189873418	395	8819	11489,17391,27390,17388,107522,280667,13929	Adam12,Mmp24,Mmel1,Mmp15,Ece2,Adam1b,Amz2
1.20.930.20	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	12402	Cbl
3.40.225.10	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	11518	Add1
2.60.120.780	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	17344	Pias2
3.40.50.261	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	20916	Sucla2
1.10.274.30	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	56397	Morf4l2
1.20.1270.220	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	14312	Brd2
1.10.1200.10	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	14104	Fasn
1.20.1440.160	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	106869	Tnfaip8
2.30.30.920	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	15204	Herc2
1.20.1480.20	-	0.16750390714648	-1.78674860174143	4	1	0.00253164556962025	395	8819	17776	Mast2
2.40.70.10	-	0.175265667218346	-1.74145235781455	17	2	0.00506329113924051	395	8819	71829,170676	Ddi1,Peg10
3.30.1520.10	-	0.184449228832729	-1.69038103584964	50	4	0.010126582278481	395	8819	235406,66895,240752,18705	Snx33,Pxdc1,Pik3c2b,Pik3c2g
1.50.40.10	-	0.202915527591148	-1.59496550678305	52	4	0.010126582278481	395	8819	107375,68066,230125,67863	Slc25a45,Slc25a39,Slc25a51,Slc25a11
2.20.28.130	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	320790	Chd7
3.40.532.10	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	22223	Uchl1
3.30.1600.10	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	64383	Sirt2
2.60.40.1260	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	74071	Lmntd1
2.40.160.10	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	22333	Vdac1
3.90.740.10	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	22321	Vars
3.30.390.130	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	14357	Dtx1
1.10.245.10	-	0.204808042904001	-1.58568211459572	5	1	0.00253164556962025	395	8819	17246	Mdm2
3.30.505.10	-	0.216019991379941	-1.53238432289579	109	7	0.0177215189873418	395	8819	77799,72281,20399,21961,17060,27387,12402	Sla2,Sh2d4a,Sh2b1,Tns1,Blnk,Sh2d3c,Cbl
2.10.90.10	-	0.219961530552092	-1.51430260904662	72	5	0.0126582278481013	395	8819	14559,18590,170458,16324,12064	Gdf1,Pdgfa,Gpha2,Inhbb,Bdnf
3.90.1480.20	-	0.224960202137412	-1.491831771812	20	2	0.00506329113924051	395	8819	50935,54613	St6galnac6,St3gal6
2.130.10.30	-	0.224960202137412	-1.491831771812	20	2	0.00506329113924051	395	8819	105670,15204	Rcbtb2,Herc2
2.120.10.30	-	0.229175113105435	-1.47326888160138	37	3	0.00759493670886076	395	8819	23966,66866,636931	Tenm4,Nhlrc2,Trim71
1.20.58.160	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	71943	Tom1l1
2.70.98.20	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	69761	Doxl1
3.10.20.380	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	13542	Dvl1
1.10.287.660	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	57905	Isy1
3.10.350.10	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	75099	Lysmd4
1.10.10.440	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	11855	Arhgap5
1.20.5.690	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	16649	Kpna4
3.30.1360.120	-	0.24044462368696	-1.42526547088893	6	1	0.00253164556962025	395	8819	70359	Gtpbp3
1.10.1300.10	-	0.2417750598291	-1.41974748992138	21	2	0.00506329113924051	395	8819	23984,18583	Pde10a,Pde7a
3.30.1490.20	-	0.258641998093991	-1.3523104202082	22	2	0.00506329113924051	395	8819	108653,20916	Rimklb,Sucla2
4.10.530.10	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	11600	Angpt1
1.10.287.370	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	14976	Pfdn6
3.30.920.20	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	14453	Gas2
3.30.70.850	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	18550	Furin
3.30.810.10	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	18720	Pip5k1a
1.20.140.30	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	19070	Mob4
3.30.1140.40	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	242646	Tctex1d4
3.30.390.30	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	232223	Txnrd3
1.10.510.50	-	0.274488011148138	-1.29284769422081	7	1	0.00253164556962025	395	8819	27399	Ip6k1
1.10.2000.10	-	0.275522723029051	-1.28908517455609	23	2	0.00506329113924051	395	8819	319757,26563	Smo,Ror1
3.30.40.160	-	0.275522723029051	-1.28908517455609	23	2	0.00506329113924051	395	8819	347722,213990	Agap1,Agap3
2.70.170.10	-	0.290296308849916	-1.23685312298273	42	3	0.00759493670886076	395	8819	14397,14394,14401	Gabra4,Gabra1,Gabrb2
3.40.640.10	-	0.290296308849916	-1.23685312298273	42	3	0.00759493670886076	395	8819	11656,23923,20397	Alas2,Aadat,Sgpl1
2.110.10.10	-	0.292382250222941	-1.22969325670097	24	2	0.00506329113924051	395	8819	17388,17391	Mmp15,Mmp24
3.20.20.190	-	0.292382250222941	-1.22969325670097	24	2	0.00506329113924051	395	8819	269437,18797	Plch1,Plcb3
3.40.50.1820	-	0.298555215216686	-1.20880038765507	121	7	0.0177215189873418	395	8819	13850,321007,16891,23945,12623,29811,14104	Ephx2,Serac1,Lipg,Mgll,Ces1g,Ndrg2,Fasn
2.60.120.260	-	0.305684586859344	-1.1852014705277	82	5	0.0126582278481013	395	8819	12305,15204,18550,223697,110006	Ddr1,Herc2,Furin,Sun2,Gusb
3.30.800.10	-	0.307009258940388	-1.18087737243478	8	1	0.00253164556962025	395	8819	18720	Pip5k1a
3.30.450.40	-	0.307009258940388	-1.18087737243478	8	1	0.00253164556962025	395	8819	23984	Pde10a
1.10.950.10	-	0.307009258940388	-1.18087737243478	8	1	0.00253164556962025	395	8819	13829	Dmtn
4.10.1110.10	-	0.307009258940388	-1.18087737243478	8	1	0.00253164556962025	395	8819	100494	Zfand2a
3.90.215.10	-	0.307009258940388	-1.18087737243478	8	1	0.00253164556962025	395	8819	11600	Angpt1
1.10.840.10	-	0.325913023808347	-1.12112473134629	26	2	0.00506329113924051	395	8819	27387,217944	Sh2d3c,Rapgef5
1.20.1540.10	-	0.33807625959671	-1.0844837888389	9	1	0.00253164556962025	395	8819	279766	Rhbdd3
3.10.20.230	-	0.33807625959671	-1.0844837888389	9	1	0.00253164556962025	395	8819	68511	Dcdc2c
1.10.1540.10	-	0.33807625959671	-1.0844837888389	9	1	0.00253164556962025	395	8819	72145	Wdfy3
2.60.40.2030	-	0.33807625959671	-1.0844837888389	9	1	0.00253164556962025	395	8819	329872	Frem1
3.90.290.10	-	0.33807625959671	-1.0844837888389	9	1	0.00253164556962025	395	8819	16998	Ltbp3
3.40.50.10140	-	0.359012650265921	-1.02439765360515	28	2	0.00506329113924051	395	8819	16182,16177	Il18r1,Il1r1
2.60.40.150	-	0.36484078005731	-1.00829423959191	151	8	0.020253164556962	395	8819	54524,18797,269437,329502,110279,18705,240752,74413	Syt6,Plcb3,Plch1,Pla2g4e,Bcr,Pik3c2g,Pik3c2b,Tc2n
1.20.1510.10	-	0.367753884730876	-1.00034135604618	10	1	0.00253164556962025	395	8819	239436	Slc30a8
3.40.50.1000	-	0.373503097887322	-0.984828980233964	69	4	0.010126582278481	395	8819	235574,52468,13850,50770	Atp2c1,Ctdsp2,Ephx2,Atp11a
3.40.50.410	-	0.39530984312012	-0.928085408609744	92	5	0.0126582278481013	395	8819	319480,209378,328643,16414,240675	Itga11,Itih5,Vwa5b2,Itgb2,Vwa2
3.30.1370.50	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	77286	Nkrf
3.40.800.20	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	56233	Hdac7
3.40.50.200	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	18550	Furin
4.10.740.10	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	14058	F10
3.40.50.11210	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	56784	Ralgapa1
1.20.1270.10	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	15481	Hspa8
3.40.50.800	-	0.396104119212604	-0.926078174982428	11	1	0.00253164556962025	395	8819	70791	Hars2
1.10.287.110	-	0.401683632126853	-0.912090484957262	51	3	0.00759493670886076	395	8819	69408,56323,56354	Dnajc17,Dnajb5,Dnajc7
1.10.10.1200	-	0.407466519604768	-0.897796510155674	31	2	0.00506329113924051	395	8819	27385,56191	Magel2,Tro
1.20.1270.60	-	0.414506382236657	-0.88066690709069	73	4	0.010126582278481	395	8819	244654,70375,235406,94190	Mtss2,Ica1l,Snx33,Ophn1
3.30.70.330	-	0.422888678034598	-0.860646307066856	246	12	0.030379746835443	395	8819	15572,217351,224903,27632,56878,56195,21843,52897,69408,19017,93728,108014	Elavl4,Tnrc6c,Safb,Nelfe,Rbms1,Ptbp2,Tial1,Rbfox3,Dnajc17,Ppargc1a,Pabpc5,Srsf9
3.40.47.10	-	0.423186189261475	-0.85994303304079	12	1	0.00253164556962025	395	8819	14104	Fasn
2.60.34.10	-	0.423186189261475	-0.85994303304079	12	1	0.00253164556962025	395	8819	15481	Hspa8
3.30.260.10	-	0.423186189261475	-0.85994303304079	12	1	0.00253164556962025	395	8819	21454	Tcp1
1.10.10.1210	-	0.423227716940153	-0.859844906867751	32	2	0.00506329113924051	395	8819	27385,56191	Magel2,Tro
3.60.40.10	-	0.473769677135257	-0.747033988597903	14	1	0.00253164556962025	395	8819	68606	Ppm1f
2.60.40.420	-	0.473769677135257	-0.747033988597903	14	1	0.00253164556962025	395	8819	15203	Heph
1.10.560.10	-	0.473769677135257	-0.747033988597903	14	1	0.00253164556962025	395	8819	21454	Tcp1
3.90.1150.10	-	0.483967593328028	-0.725737330440981	36	2	0.00506329113924051	395	8819	20397,11656	Sgpl1,Alas2
1.10.418.10	-	0.484582705711364	-0.724467158996824	80	4	0.010126582278481	395	8819	14453,18826,108686,171580	Gas2,Lcp1,Ccdc88a,Mical1
1.10.10.10	-	0.485799053297901	-0.721960211164623	213	10	0.0253164556962025	395	8819	243529,13709,15220,14011,207214,13542,18504,71745,217944,14390	H1fx,Elf1,Foxq1,Etv6,Larp4,Dvl1,Pax2,Cul2,Rapgef5,Gabpa
2.60.40.1400	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	16516	Kcnj15
3.50.7.10	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	21454	Tcp1
1.10.150.60	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	214899	Kdm5a
2.60.120.1490	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	16774	Lama3
2.30.30.30	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	15204	Herc2
1.10.1000.11	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	215632	Psd4
2.40.20.10	-	0.497376829608465	-0.698407331712602	15	1	0.00253164556962025	395	8819	26563	Ror1
4.10.70.10	-	0.498527163632117	-0.696097200328368	37	2	0.00506329113924051	395	8819	11489,280667	Adam12,Adam1b
3.40.1110.10	-	0.498527163632117	-0.696097200328368	37	2	0.00506329113924051	395	8819	235574,50770	Atp2c1,Atp11a
1.10.437.10	-	0.519927505691426	-0.654065889257312	16	1	0.00253164556962025	395	8819	12122	Bid
4.10.260.10	-	0.519927505691426	-0.654065889257312	16	1	0.00253164556962025	395	8819	66066	Gng11
