Id	text	size	colour
ENSDARG00000027828	NA	1	NA
ENSDARG00000025728	NA	1	NA
ENSDARG00000062549	NA	1	NA
ENSDARG00000104903	NA	1	NA
ENSDARG00000010878	NA	1	NA
ENSDARG00000038141	NA	1	NA
ENSDARG00000111939	NA	1	NA
ENSDARG00000017004	NA	1	NA
ENSDARG00000075273	NA	1	NA
ENSDARG00000112294	NA	1	NA
ENSDARG00000087782	NA	1	NA
ENSDARG00000017397	NA	1	NA
ENSDARG00000098919	NA	1	NA
ENSDARG00000055481	NA	1	NA
ENSDARG00000011298	NA	1	NA
ENSDARG00000077946	NA	1	NA
ENSDARG00000063525	NA	1	NA
ENSDARG00000062195	NA	1	NA
ENSDARG00000079688	NA	1	NA
ENSDARG00000006983	NA	1	NA
ENSDARG00000034668	NA	1	NA
ENSDARG00000053364	NA	1	NA
ENSDARG00000032578	NA	1	NA
ENSDARG00000028148	NA	1	NA
ENSDARG00000076532	NA	1	NA
ENSDARG00000004561	NA	1	NA
ENSDARG00000079585	NA	1	NA
ENSDARG00000102845	NA	1	NA
ENSDARG00000034093	NA	1	NA
ENSDARG00000104314	NA	1	NA
ENSDARG00000033447	NA	1	NA
ENSDARG00000061405	NA	1	NA
ENSDARG00000067927	NA	1	NA
ENSDARG00000058237	NA	1	NA
ENSDARG00000030155	NA	1	NA
ENSDARG00000099088	NA	1	NA
ENSDARG00000076997	NA	1	NA
ENSDARG00000071396	NA	1	NA
ENSDARG00000100375	NA	1	NA
ENSDARG00000037097	NA	1	NA
ENSDARG00000071384	NA	1	NA
ENSDARG00000040610	NA	1	NA
ENSDARG00000099111	NA	1	NA
ENSDARG00000074451	NA	1	NA
ENSDARG00000015759	NA	1	NA
ENSDARG00000070348	NA	1	NA
ENSDARG00000016038	NA	1	NA
ENSDARG00000070351	NA	1	NA
ENSDARG00000011166	NA	1	NA
ENSDARG00000014488	NA	1	NA
ENSDARG00000028354	NA	1	NA
ENSDARG00000088862	NA	1	NA
ENSDARG00000036500	NA	1	NA
ENSDARG00000022918	NA	1	NA
ENSDARG00000103350	NA	1	NA
ENSDARG00000100560	NA	1	NA
ENSDARG00000040123	NA	1	NA
ENSDARG00000062267	NA	1	NA
ENSDARG00000041572	NA	1	NA
ENSDARG00000079939	NA	1	NA
ENSDARG00000076052	NA	1	NA
ENSDARG00000091418	NA	1	NA
ENSDARG00000012248	NA	1	NA
ENSDARG00000104288	NA	1	NA
ENSDARG00000043283	NA	1	NA
ENSDARG00000100599	NA	1	NA
ENSDARG00000100248	NA	1	NA
ENSDARG00000098853	NA	1	NA
ENSDARG00000014793	NA	1	NA
ENSDARG00000102075	NA	1	NA
ENSDARG00000041708	NA	1	NA
ENSDARG00000009958	NA	1	NA
ENSDARG00000104069	NA	1	NA
ENSDARG00000039378	NA	1	NA
ENSDARG00000092394	NA	1	NA
ENSDARG00000055588	NA	1	NA
ENSDARG00000019392	NA	1	NA
ENSDARG00000052846	NA	1	NA
ENSDARG00000057992	NA	1	NA
ENSDARG00000012699	NA	1	NA
ENSDARG00000087206	NA	1	NA
ENSDARG00000104674	NA	1	NA
ENSDARG00000017229	NA	1	NA
ENSDARG00000079631	NA	1	NA
ENSDARG00000010873	NA	1	NA
ENSDARG00000057437	NA	1	NA
ENSDARG00000060345	NA	1	NA
ENSDARG00000078707	NA	1	NA
ENSDARG00000098508	NA	1	NA
ENSDARG00000055302	NA	1	NA
ENSDARG00000010181	NA	1	NA
ENSDARG00000059202	NA	1	NA
ENSDARG00000003754	NA	1	NA
ENSDARG00000018461	NA	1	NA
ENSDARG00000045586	NA	1	NA
ENSDARG00000053344	NA	1	NA
ENSDARG00000060184	NA	1	NA
ENSDARG00000062748	NA	1	NA
ENSDARG00000041363	NA	1	NA
ENSDARG00000014366	NA	1	NA
ENSDARG00000011493	NA	1	NA
ENSDARG00000063233	NA	1	NA
ENSDARG00000099651	NA	1	NA
ENSDARG00000038306	NA	1	NA
ENSDARG00000037968	NA	1	NA
ENSDARG00000095553	NA	1	NA
ENSDARG00000045087	NA	1	NA
ENSDARG00000037916	NA	1	NA
ENSDARG00000008947	NA	1	NA
ENSDARG00000030335	NA	1	NA
ENSDARG00000058342	NA	1	NA
ENSDARG00000061974	NA	1	NA
ENSDARG00000044299	NA	1	NA
ENSDARG00000009087	NA	1	NA
ENSDARG00000036628	NA	1	NA
ENSDARG00000058379	NA	1	NA
ENSDARG00000014201	NA	1	NA
ENSDARG00000075648	NA	1	NA
ENSDARG00000061471	NA	1	NA
ENSDARG00000019930	NA	1	NA
ENSDARG00000101983	NA	1	NA
ENSDARG00000101293	NA	1	NA
ENSDARG00000056742	NA	1	NA
ENSDARG00000110160	NA	1	NA
ENSDARG00000030116	NA	1	NA
