Source	Target
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000159692
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000263001
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105323
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177239
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000019549
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110330
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196646
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162032
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000025800
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000145191
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000151208
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000274429
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117020
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000275199
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163050
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130684
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162383
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000168214
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000121417
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000145555
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000214274
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000129219
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167333
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000231389
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000229685
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000235844
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000228163
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000206291
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000224103
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000168384
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000236177
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105856
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000283847
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000114026
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105967
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100280
